path/symbol	source excerpt	semantic category	producer	consumer	proposed action	compatibility rationale	affected proof	source SHA-256
docs/citadel-readiness-report.md:31	- R0: [Producer/consumer matrix](citadel-readiness-matrix.md), source/installation	historical/sealed evidence	Author/source at Git blob c975dc525eeb88d5509ddaabe427a54bce4b3267	Exact consumers and retained categories in compatibility contract	retain original; current pointer where appropriate	Historical provenance is not renewed authority	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	91e5808191405de4009ae76505d6b51042abcddbc51fb95f17a4d2fa47aa701a
docs/citadel-readiness-report.md:34	- R1: `imperium:citadel:public-institutions` exports native public witnesses from	historical/sealed evidence	Author/source at Git blob c975dc525eeb88d5509ddaabe427a54bce4b3267	Exact consumers and retained categories in compatibility contract	retain original; current pointer where appropriate	Historical provenance is not renewed authority	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	91e5808191405de4009ae76505d6b51042abcddbc51fb95f17a4d2fa47aa701a
docs/citadel-readiness-report.md:35	fixed-root DI. `imperium:citadel:prepare inspect|decision|assemble` inspects	historical/sealed evidence	Author/source at Git blob c975dc525eeb88d5509ddaabe427a54bce4b3267	Exact consumers and retained categories in compatibility contract	retain original; current pointer where appropriate	Historical provenance is not renewed authority	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	91e5808191405de4009ae76505d6b51042abcddbc51fb95f17a4d2fa47aa701a
docs/citadel-readiness-report.md:39	- R2: [Owner runbook](citadel-readiness-runbook.md), public evidence request,	historical/sealed evidence	Author/source at Git blob c975dc525eeb88d5509ddaabe427a54bce4b3267	Exact consumers and retained categories in compatibility contract	retain original; current pointer where appropriate	Historical provenance is not renewed authority	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	91e5808191405de4009ae76505d6b51042abcddbc51fb95f17a4d2fa47aa701a
docs/citadel-readiness-report.md:43	- R3: [Changed-test map](citadel-readiness-changed-tests.md), committed executable	historical/sealed evidence	Author/source at Git blob c975dc525eeb88d5509ddaabe427a54bce4b3267	Exact consumers and retained categories in compatibility contract	retain original; current pointer where appropriate	Historical provenance is not renewed authority	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	91e5808191405de4009ae76505d6b51042abcddbc51fb95f17a4d2fa47aa701a
docs/citadel-readiness-report.md:72	| `php vendor/bin/phpunit tests/Imperium/Runtime/CitadelReadinessPreparationTest.php tests/Imperium/Runtime/CitadelMissionFormationTest.php tests/Imperium/Runtime/CitadelFormationCorrectionTest.php --log-junit var/citadel-readiness-proof/focused.xml` | PASS: 50 tests / 341 assertions; 453.126 seconds in JUnit; no errors/failures/skips. Focused source matches the committed application/test changes. |	historical/sealed evidence	Author/source at Git blob c975dc525eeb88d5509ddaabe427a54bce4b3267	Exact consumers and retained categories in compatibility contract	retain original; current pointer where appropriate	Historical provenance is not renewed authority	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	91e5808191405de4009ae76505d6b51042abcddbc51fb95f17a4d2fa47aa701a
docs/citadel-readiness-report.md:73	| `php vendor/bin/phpunit tests/Imperium/Runtime/CitadelReadinessPreparationTest.php --log-junit var/citadel-readiness-proof/preparation-final.xml` | PASS: final preparation changes, 10 tests / 64 assertions; no errors/failures/skips. |	historical/sealed evidence	Author/source at Git blob c975dc525eeb88d5509ddaabe427a54bce4b3267	Exact consumers and retained categories in compatibility contract	retain original; current pointer where appropriate	Historical provenance is not renewed authority	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	91e5808191405de4009ae76505d6b51042abcddbc51fb95f17a4d2fa47aa701a
docs/citadel-readiness-report.md:74	| `php bin/console lint:container` | PASS; `debug:container App\Imperium\Runtime\Citadel\Formation\BoundedFormationTransport` resolves the private alias to `UnavailableFormationTransport`; normal compiler inlining notice retained. |	historical/sealed evidence	Author/source at Git blob c975dc525eeb88d5509ddaabe427a54bce4b3267	Exact consumers and retained categories in compatibility contract	retain original; current pointer where appropriate	Historical provenance is not renewed authority	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	91e5808191405de4009ae76505d6b51042abcddbc51fb95f17a4d2fa47aa701a
docs/citadel-readiness-report.md:75	| `php bin/console imperium:citadel:prepare inspect docs/citadel-readiness/public-evidence-request.json` | Expected exit 2; every real public prerequisite missing, `live_ready: false`. |	historical/sealed evidence	Author/source at Git blob c975dc525eeb88d5509ddaabe427a54bce4b3267	Exact consumers and retained categories in compatibility contract	retain original; current pointer where appropriate	Historical provenance is not renewed authority	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	91e5808191405de4009ae76505d6b51042abcddbc51fb95f17a4d2fa47aa701a
docs/citadel-readiness-report.md:76	| `php bin/console imperium:citadel:public-institutions` | Expected exit 2 in this checkout; nine CMF121 unavailable witnesses. This source tree is not treated as an installation. |	historical/sealed evidence	Author/source at Git blob c975dc525eeb88d5509ddaabe427a54bce4b3267	Exact consumers and retained categories in compatibility contract	retain original; current pointer where appropriate	Historical provenance is not renewed authority	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	91e5808191405de4009ae76505d6b51042abcddbc51fb95f17a4d2fa47aa701a
docs/citadel-readiness-report.md:77	| `php tools/prove-citadel-readiness.php` | PASS on tested commit; 9 read-only preparation/assembly steps, 4 distinct prepared owner acts, 3 synthetic calls, accepted handoff and non-executing Step 1. |	historical/sealed evidence	Author/source at Git blob c975dc525eeb88d5509ddaabe427a54bce4b3267	Exact consumers and retained categories in compatibility contract	retain original; current pointer where appropriate	Historical provenance is not renewed authority	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	91e5808191405de4009ae76505d6b51042abcddbc51fb95f17a4d2fa47aa701a
docs/citadel-readiness-report.md:78	| `php tools/prove-citadel-formation.php` and `php tools/prove-citadel-correction.php` | PASS on tested commit in new synthetic roots; no live provider, real key, installation or mission effect. |	historical/sealed evidence	Author/source at Git blob c975dc525eeb88d5509ddaabe427a54bce4b3267	Exact consumers and retained categories in compatibility contract	retain original; current pointer where appropriate	Historical provenance is not renewed authority	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	91e5808191405de4009ae76505d6b51042abcddbc51fb95f17a4d2fa47aa701a
docs/citadel-readiness-report.md:79	| `python tools/verify-citadel-correction-proof.py` + independent Python Ed25519/canonical packet check | PASS: 4 CF01 owner signatures, 73 unique CF02 owner/institution signatures, 3 journal frames, 1 intact child receipt, 9 native witnesses, unchanged receipt bytes and 1 parent transition; all 4 new prepared signatures/objects verified. |	historical/sealed evidence	Author/source at Git blob c975dc525eeb88d5509ddaabe427a54bce4b3267	Exact consumers and retained categories in compatibility contract	retain original; current pointer where appropriate	Historical provenance is not renewed authority	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	91e5808191405de4009ae76505d6b51042abcddbc51fb95f17a4d2fa47aa701a
docs/citadel-readiness-report.md:80	| `php vendor/bin/phpunit tests --log-junit var/citadel-readiness-proof/full-suite.xml` | PASS: **2,739 tests / 53,138 assertions**, exit 0; no failures/errors/skips; 4 historical linked-worktree warnings. Wall duration 980.641 seconds. |	historical/sealed evidence	Author/source at Git blob c975dc525eeb88d5509ddaabe427a54bce4b3267	Exact consumers and retained categories in compatibility contract	retain original; current pointer where appropriate	Historical provenance is not renewed authority	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	91e5808191405de4009ae76505d6b51042abcddbc51fb95f17a4d2fa47aa701a
docs/citadel-readiness-runbook.md:1	# Citadel owner commissioning preparation runbook	enclosing Citadel	Author/source at Git blob 04b04b9be1e1c9078dfd6cf31362a71d4774ae92	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	22d1ccfe21abf22c48309d9abe0fba89a78e40b67cba774c7a7f05b1363ccc25
docs/citadel-readiness-runbook.md:5	**FORMATION_CLAIM_CUSTODY_IMPLEMENTED_OFFLINE_LIVE_TRANSPORT_BLOCKED**. [FC0–FC3 report and fresh gate evidence](citadel-formation-claim-custody-report.md) and [the exact custody contract](../contracts/citadel-formation-claim-custody.md) supersede the selection status below. Genuine retained claims now bind exact prepared operations to durable one-use credential delivery and dispatch, proved with recording offline infrastructure. Default production transport still refuses. This is local software completion, not independent acceptance, deployment or commissioning.	persisted/signed/wire identity	Author/source at Git blob 04b04b9be1e1c9078dfd6cf31362a71d4774ae92	Exact consumers and retained categories in compatibility contract	retain exact format and one domain	No identity, lock, registry, budget or replay split	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	22d1ccfe21abf22c48309d9abe0fba89a78e40b67cba774c7a7f05b1363ccc25
docs/citadel-readiness-runbook.md:7	Next: independent review, then genuine installed formation trust/custody, nine institutional witnesses and competence, personnel judgments and qualified Castellan/Locksmith appointments, actual B1 provider/custody/bounds policy, public preflight and separately scoped owner authorization. **DEFER_ENROLLMENT remains selected.** B1 remote cost/time guarantees are unchanged; no provider was selected. CF01/CF02/IR01 and NA-IR01/02 remain preserved. Understanding closes interview authority; drafting and mission approval stay separate; receiving grants no execution authority. Unknown outcomes retain exposure without retry/refund. All deployment/enrollment/readiness/activation/execution flags remain	proposed future oversight / prior interview allocation	Author/source at Git blob 04b04b9be1e1c9078dfd6cf31362a71d4774ae92	Exact consumers and retained categories in compatibility contract	current doctrine successor; retain history	Castellan oversight deferred; no powers	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	22d1ccfe21abf22c48309d9abe0fba89a78e40b67cba774c7a7f05b1363ccc25
docs/citadel-readiness-runbook.md:13	The owner chose **DEFER_ENROLLMENT** on 2026-09-09 and retained the first bounded Castellan interview as the objective. [CP0–CP3 is accepted and merged via PR #776](citadel-commissioning-preparation-acceptance.md), exact reviewed tree `91bac3df3fdf78288fbd896672aa6001206160ad`; GitHub CI passed. No corrective campaign or installation change is selected.	proposed future oversight / prior interview allocation	Author/source at Git blob 04b04b9be1e1c9078dfd6cf31362a71d4774ae92	Exact consumers and retained categories in compatibility contract	current doctrine successor; retain history	Castellan oversight deferred; no powers	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	22d1ccfe21abf22c48309d9abe0fba89a78e40b67cba774c7a7f05b1363ccc25
docs/citadel-readiness-runbook.md:15	Next local work: [Formation Claim Custody and Transport Boundary FC0–FC3](next-campaign-citadel-formation-claim-custody.md), using [the Loco handoff](handoffs/citadel-formation-claim-custody-ready.md).	persisted/signed/wire identity	Author/source at Git blob 04b04b9be1e1c9078dfd6cf31362a71d4774ae92	Exact consumers and retained categories in compatibility contract	retain exact format and one domain	No identity, lock, registry, budget or replay split	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	22d1ccfe21abf22c48309d9abe0fba89a78e40b67cba774c7a7f05b1363ccc25
docs/citadel-readiness-runbook.md:25	This closes a specific software prerequisite without commissioning admission/inventory. Native enrollment stays deferred; formation trust, other Seats and appointments remain unresolved. No provider is selected and no accepted cost/time guarantee is weakened. Citadel receives; Castellan interviews; understanding closes interview authority; drafting and mission approval remain separate; receiving assessment grants no execution authority. Preserve CF01/CF02/IR01, NA-IR01/02 and all scoped acceptances. Default transport refuses; unknown outcomes retain exposure without retry/refund. All operational authority/readiness flags remain false.	proposed future oversight / prior interview allocation	Author/source at Git blob 04b04b9be1e1c9078dfd6cf31362a71d4774ae92	Exact consumers and retained categories in compatibility contract	current doctrine successor; retain history	Castellan oversight deferred; no powers	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	22d1ccfe21abf22c48309d9abe0fba89a78e40b67cba774c7a7f05b1363ccc25
docs/citadel-readiness-runbook.md:31	**COMMISSIONING_PACKAGE_PREPARED_FOR_OWNER_REVIEW.** CP0–CP3 is complete locally: [report and evidence index](citadel-commissioning-preparation-report.md), [installation assessment](citadel-commissioning-installation-assessment.md), [owner decisions](citadel-commissioning-owner-decisions.md), [compatibility matrix](citadel-commissioning-compatibility.md) and [phased runbook](citadel-commissioning-owner-runbook.md). Independent package review is next. Recommendation: defer enrollment until explicit owner decisions and genuine operational prerequisites are resolved.	enclosing Citadel	Author/source at Git blob 04b04b9be1e1c9078dfd6cf31362a71d4774ae92	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	22d1ccfe21abf22c48309d9abe0fba89a78e40b67cba774c7a7f05b1363ccc25
docs/citadel-readiness-runbook.md:33	The checker and offline rehearsal grant no authority. Deployment approval, enrollment authorization, live readiness, activation and execution remain false. Stop at local commits; publication and any real commissioning are later gates. Accepted P0–P3/NA-IR01/02, CF01/CF02/IR01 and the exact Guildhall lookup remain closed within scope. Native authority does not supply formation competence or resolve other Seats, appointments or B1. Citadel receives; Castellan interviews; understanding closes interview authority; drafting and mission approval remain separate; receiving assessment grants no execution authority. Default transport refuses; unknown outcomes retain exposure without retry/refund.	proposed future oversight / prior interview allocation	Author/source at Git blob 04b04b9be1e1c9078dfd6cf31362a71d4774ae92	Exact consumers and retained categories in compatibility contract	current doctrine successor; retain history	Castellan oversight deferred; no powers	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	22d1ccfe21abf22c48309d9abe0fba89a78e40b67cba774c7a7f05b1363ccc25
docs/citadel-readiness-runbook.md:39	P0–P3 and NA-IR01/02 are [accepted and integrated through PR #774](citadel-native-authority-protocol-acceptance.md), merge `f35a0b33ddab9e8815470a697d8593984e050023`, exact accepted tree `e4140d95cbb83b3dbf9125849953cec0c7eda989`. GitHub CI passed. Earlier accepted campaigns and the exact Guildhall lookup remain closed within scope.	enclosing Citadel	Author/source at Git blob 04b04b9be1e1c9078dfd6cf31362a71d4774ae92	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	22d1ccfe21abf22c48309d9abe0fba89a78e40b67cba774c7a7f05b1363ccc25
docs/citadel-readiness-runbook.md:41	Execute [CP0–CP3](next-campaign-citadel-native-authority-commissioning.md) using [the Loco handoff](handoffs/citadel-native-authority-commissioning-ready.md). This selects read-only installation/source assessment, an unapproved owner policy and compatibility proposal, a bounded public preparation checker, exact future commands and offline rehearsal. It does not approve deployment, signing, enrollment or real institutional acts.	enclosing Citadel	Author/source at Git blob 04b04b9be1e1c9078dfd6cf31362a71d4774ae92	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	22d1ccfe21abf22c48309d9abe0fba89a78e40b67cba774c7a7f05b1363ccc25
docs/citadel-readiness-runbook.md:52	Citadel receives; Castellan interviews; “I understand” closes interview authority. Separate explicit approval permits drafting. Separate mission approval precedes legitimate child-Curia constitution and handoff. Receiving assessment grants no execution authority. CF01/CF02/IR01 and NA-IR01/02 remain preserved; unknown provider outcomes retain exposure without retry/refund and default formation transport refuses. `live_ready`, `activation` and `execution_authority` remain false.	proposed future oversight / prior interview allocation	Author/source at Git blob 04b04b9be1e1c9078dfd6cf31362a71d4774ae92	Exact consumers and retained categories in compatibility contract	current doctrine successor; retain history	Castellan oversight deferred; no powers	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	22d1ccfe21abf22c48309d9abe0fba89a78e40b67cba774c7a7f05b1363ccc25
docs/citadel-readiness-runbook.md:58	The [P0–P3 campaign](native-authority-protocol-campaign.md), [native contract](../contracts/native-institutional-authority-v1.md), [owner runbook](native-authority-protocol-runbook.md) and [source map](native-authority-protocol-source-map.md) supersede the campaign-selection text below. A0–A3 is [accepted within preparation/refusal scope](citadel-authority-interface-acceptance.md), with its admission-test qualification preserved. Independent review requires NA-IR01/02 corrections within P0–P3; see the [review and correction scope](native-authority-correction-campaign.md). Both defects were reproduced, corrected and passed final committed offline gates; see the [correction report](native-auth	enclosing Citadel	Author/source at Git blob 04b04b9be1e1c9078dfd6cf31362a71d4774ae92	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	22d1ccfe21abf22c48309d9abe0fba89a78e40b67cba774c7a7f05b1363ccc25
docs/citadel-readiness-runbook.md:62	**AUTHORITY_INTERFACES_IMPLEMENTED_WITH_EXPLICIT_ISSUER_OR_CURRENTNESS_BLOCKER**. The [completed report](citadel-authority-interface-report.md), [implemented runbook](citadel-authority-interface-runbook.md) and [source/consumer map](citadel-authority-interface-source-map.md) supersede the campaign-selection instructions below. Public Recruiter projection/inspection and exact unsigned Garrison preparation/refusal are implemented and tested. No authentic native issuer/currentness source was established, so no positive revision or formation witness is admitted. Independent review is next; installation/private export and genuine owner acts remain separate. Do not repeat the accepted Guildhall lo	enclosing Citadel	Author/source at Git blob 04b04b9be1e1c9078dfd6cf31362a71d4774ae92	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	22d1ccfe21abf22c48309d9abe0fba89a78e40b67cba774c7a7f05b1363ccc25
docs/citadel-readiness-runbook.md:64	Current local implementation: [Recruiter currentness and Garrison authority interfaces](next-campaign-citadel-recruiter-garrison-authority-interfaces.md),	enclosing Citadel	Author/source at Git blob 04b04b9be1e1c9078dfd6cf31362a71d4774ae92	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	22d1ccfe21abf22c48309d9abe0fba89a78e40b67cba774c7a7f05b1363ccc25
docs/citadel-readiness-runbook.md:65	[Loco A0–A3](handoffs/citadel-recruiter-garrison-authority-interfaces-ready.md). [Native-lineage preparation is accepted and integrated](citadel-native-lineage-acceptance.md).	enclosing Citadel	Author/source at Git blob 04b04b9be1e1c9078dfd6cf31362a71d4774ae92	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	22d1ccfe21abf22c48309d9abe0fba89a78e40b67cba774c7a7f05b1363ccc25
docs/citadel-readiness-runbook.md:69	[native-lineage collector/verifier](citadel-native-lineage-runbook.md). Its exact	enclosing Citadel	Author/source at Git blob 04b04b9be1e1c9078dfd6cf31362a71d4774ae92	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	22d1ccfe21abf22c48309d9abe0fba89a78e40b67cba774c7a7f05b1363ccc25
docs/citadel-readiness-runbook.md:72	import. Native-lineage offline validation passed. The [completed preparation report](citadel-native-lineage-report.md) records the exact tests and explicit owner blockers; live commissioning remains blocked.	enclosing Citadel	Author/source at Git blob 04b04b9be1e1c9078dfd6cf31362a71d4774ae92	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	22d1ccfe21abf22c48309d9abe0fba89a78e40b67cba774c7a7f05b1363ccc25
docs/citadel-readiness-runbook.md:75	commissioning. [Matrix and B1 decision](citadel-readiness-matrix.md) control the	enclosing Citadel	Author/source at Git blob 04b04b9be1e1c9078dfd6cf31362a71d4774ae92	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	22d1ccfe21abf22c48309d9abe0fba89a78e40b67cba774c7a7f05b1363ccc25
docs/citadel-readiness-runbook.md:81	The [IR01 correction](citadel-ir01-correction-report.md) is independently accepted	enclosing Citadel	Author/source at Git blob 04b04b9be1e1c9078dfd6cf31362a71d4774ae92	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	22d1ccfe21abf22c48309d9abe0fba89a78e40b67cba774c7a7f05b1363ccc25
docs/citadel-readiness-runbook.md:82	within the [recorded local scope](citadel-readiness-integration-acceptance.md).	enclosing Citadel	Author/source at Git blob 04b04b9be1e1c9078dfd6cf31362a71d4774ae92	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	22d1ccfe21abf22c48309d9abe0fba89a78e40b67cba774c7a7f05b1363ccc25
docs/citadel-readiness-runbook.md:94	[integration acceptance](citadel-readiness-integration-acceptance.md). The source	enclosing Citadel	Author/source at Git blob 04b04b9be1e1c9078dfd6cf31362a71d4774ae92	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	22d1ccfe21abf22c48309d9abe0fba89a78e40b67cba774c7a7f05b1363ccc25
docs/citadel-readiness-runbook.md:105	ID in the native-lineage runbook. The [follow-up report](citadel-native-lineage-report.md#accepted-16-record-follow-up--2026-09-08)	enclosing Citadel	Author/source at Git blob 04b04b9be1e1c9078dfd6cf31362a71d4774ae92	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	22d1ccfe21abf22c48309d9abe0fba89a78e40b67cba774c7a7f05b1363ccc25
docs/citadel-readiness-runbook.md:119	Settled flow: Citadel receives; Castellan interviews; understanding closes interview	proposed future oversight / prior interview allocation	Author/source at Git blob 04b04b9be1e1c9078dfd6cf31362a71d4774ae92	Exact consumers and retained categories in compatibility contract	current doctrine successor; retain history	Castellan oversight deferred; no powers	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	22d1ccfe21abf22c48309d9abe0fba89a78e40b67cba774c7a7f05b1363ccc25
docs/citadel-readiness-runbook.md:128	Use the field definitions in `docs/citadel-readiness-matrix.md` to populate a copy	enclosing Citadel	Author/source at Git blob 04b04b9be1e1c9078dfd6cf31362a71d4774ae92	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	22d1ccfe21abf22c48309d9abe0fba89a78e40b67cba774c7a7f05b1363ccc25
docs/citadel-readiness-runbook.md:129	of `docs/citadel-readiness/public-evidence-request.json`; leave unavailable fields	enclosing Citadel	Author/source at Git blob 04b04b9be1e1c9078dfd6cf31362a71d4774ae92	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	22d1ccfe21abf22c48309d9abe0fba89a78e40b67cba774c7a7f05b1363ccc25
docs/citadel-readiness-runbook.md:136	Set-Location E:\htdocs\imperium-citadel-readiness	enclosing Citadel	Author/source at Git blob 04b04b9be1e1c9078dfd6cf31362a71d4774ae92	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	22d1ccfe21abf22c48309d9abe0fba89a78e40b67cba774c7a7f05b1363ccc25
docs/citadel-readiness-runbook.md:138	Copy-Item -LiteralPath docs/citadel-readiness/public-evidence-request.json -Destination var/owner-public-evidence.json	enclosing Citadel	Author/source at Git blob 04b04b9be1e1c9078dfd6cf31362a71d4774ae92	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	22d1ccfe21abf22c48309d9abe0fba89a78e40b67cba774c7a7f05b1363ccc25
docs/citadel-readiness-runbook.md:139	php bin/console imperium:citadel:prepare inspect var/owner-public-evidence.json	enclosing Citadel	Author/source at Git blob 04b04b9be1e1c9078dfd6cf31362a71d4774ae92	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	22d1ccfe21abf22c48309d9abe0fba89a78e40b67cba774c7a7f05b1363ccc25
docs/citadel-readiness-runbook.md:159	| Custodian / PowerShell installation | Identified existing root; reviewed code separately deployed | `git rev-parse HEAD`; `git rev-parse 'HEAD^{tree}'`; `php bin/console imperium:citadel:public-institutions` | Public nine-role witness JSON; record command exit and owner custody declaration | Exit 2 reports missing/invalid/unsupported lineage. Stop; do not bootstrap, substitute test actors or reopen founding installation. |	enclosing Citadel	Author/source at Git blob 04b04b9be1e1c9078dfd6cf31362a71d4774ae92	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	22d1ccfe21abf22c48309d9abe0fba89a78e40b67cba774c7a7f05b1363ccc25
docs/citadel-readiness-runbook.md:161	| Competent institutional actors + Imperator | Genuine native incumbents, real role keys in existing custody, bounded delegation | `php bin/console imperium:citadel:formation personnel-source.json` (`personnel-authority-source`, `{role}`); then signed `delegate-personnel-evidence` / `record-personnel-evidence` requests | Exact actor; owner delegation and independently signed institutional envelopes, immutable returned references | A missing genuine judgment stops that candidate. Do not copy synthetic proof identities/findings or owner-write eligibility flags. |	enclosing Citadel	Author/source at Git blob 04b04b9be1e1c9078dfd6cf31362a71d4774ae92	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	22d1ccfe21abf22c48309d9abe0fba89a78e40b67cba774c7a7f05b1363ccc25
docs/citadel-readiness-runbook.md:163	| Imperator / signer, then runtime | Exact qualified Castellan and Locksmith candidates and next generation | Prepare `APPOINT_CASTELLAN` / `APPOINT_FORMATION_LOCKSMITH`; import `appoint-castellan` / `appoint-locksmith` via formation command | Attributable separate Seat bindings | Wrong generation/actor/scope refuses. Preserve existing occupancy; no automatic successor selection. |	proposed future oversight / prior interview allocation	Author/source at Git blob 04b04b9be1e1c9078dfd6cf31362a71d4774ae92	Exact consumers and retained categories in compatibility contract	current doctrine successor; retain history	Castellan oversight deferred; no powers	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	22d1ccfe21abf22c48309d9abe0fba89a78e40b67cba774c7a7f05b1363ccc25
docs/citadel-readiness-runbook.md:164	| Request submitter / installation | Real bounded objective, later authorized installation use | `php bin/console imperium:citadel:intake owner-submission-0001 request.txt` | Durable exact request and returned `intake_id` | Retain original bytes and returned identity. Reuse same submission identity only for the same bytes. No spending authority from intake. |	enclosing Citadel	Author/source at Git blob 04b04b9be1e1c9078dfd6cf31362a71d4774ae92	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	22d1ccfe21abf22c48309d9abe0fba89a78e40b67cba774c7a7f05b1363ccc25
